		time				value
           6.8022074e-11                       0.0190902
           6.8417549e-11                     0.019849436
           6.8813025e-11                     0.020634882
             6.92085e-11                     0.021447269
           6.9603975e-11                     0.022287335
           6.9999458e-11                     0.023155835
           7.0394933e-11                     0.024053533
           7.0790408e-11                      0.02498121
           7.1185884e-11                     0.025939655
           7.1581366e-11                      0.02692969
           7.1976841e-11                     0.027952097
           7.2372316e-11                      0.02900772
           7.2767799e-11                     0.030097395
           7.3163274e-11                     0.031221978
           7.3558749e-11                     0.032382328
           7.3954225e-11                     0.033579316
           7.4349707e-11                     0.034813847
           7.4745182e-11                     0.036086779
           7.5140658e-11                     0.037399031
            7.553614e-11                      0.03875152
           7.5931615e-11                      0.04014517
            7.632709e-11                     0.041580908
           7.6722566e-11                     0.043059684
           7.7118041e-11                     0.044582438
           7.7513516e-11                     0.046150133
           7.7908999e-11                     0.047763757
           7.8304481e-11                     0.049424231
           7.8699956e-11                      0.05113256
           7.9095432e-11                      0.05288972
           7.9490907e-11                     0.054696705
           7.9886382e-11                     0.056554504
           8.0281858e-11                     0.058464117
            8.067734e-11                     0.060426574
           8.1072815e-11                     0.062442813
           8.1468297e-11                      0.06451387
           8.1863773e-11                      0.06664075
           8.2259248e-11                     0.068824463
           8.2654723e-11                     0.071066007
           8.3050199e-11                     0.073366389
           8.3445674e-11                     0.075726613
           8.3841156e-11                      0.07814768
           8.4236638e-11                     0.080630623
           8.4632114e-11                     0.083176352
           8.5027589e-11                     0.085785888
           8.5423064e-11                     0.088460214
            8.581854e-11                       0.0912003
           8.6214015e-11                     0.094007112
            8.660949e-11                     0.096881598
            8.700498e-11                     0.099824756
           8.7400455e-11                      0.10283741
            8.779593e-11                      0.10592055
           8.8191406e-11                      0.10907504
           8.8586881e-11                       0.1123018
           8.8982356e-11                       0.1156017
           8.9377832e-11                      0.11897559
           8.9773314e-11                      0.12242431
           9.0168789e-11                      0.12594868
           9.0564271e-11                      0.12954955
           9.0959747e-11                      0.13322759
           9.1355222e-11                      0.13698359
           9.1750697e-11                       0.1408183
           9.2146173e-11                       0.1447324
           9.2541655e-11                      0.14872658
            9.293713e-11                       0.1528015
           9.3332612e-11                      0.15695782
           9.3728088e-11                      0.16119599
           9.4123563e-11                      0.16551664
           9.4519038e-11                       0.1699203
           9.4914514e-11                      0.17440744
           9.5309996e-11                      0.17897852
           9.5705471e-11                      0.18363394
           9.6100947e-11                      0.18837407
           9.6496422e-11                      0.19319928
           9.6891904e-11                      0.19810989
            9.728738e-11                      0.20310602
           9.7682855e-11                      0.20818795
            9.807833e-11                      0.21335584
           9.8473812e-11                      0.21860981
